Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Type,Item,Quantity
"0x98a6e27773a0b62761efb05e2cae663f5c72451affc604bab550504309d8f35e","Success","Trade","84958783","2026-04-01 10:00:03","0xE3f18aCc55091e2c48d883fc8C8413319d4Ab7b0","Polymarket: Fee Module","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","2242"
"0xa2d327273de4394f856ef7da5408692c12b3664ee0601d470c4667c8628e4860","Success","Trade","84958783","2026-04-01 10:00:03","0x4bFb41d5B3570DeFd03C39a9A4D8dE6Bd8B8982E","Polymarket: CTF Exchange","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","4895051"
"0xa2d327273de4394f856ef7da5408692c12b3664ee0601d470c4667c8628e4860","Success","Trade","84958783","2026-04-01 10:00:03","0xE3f18aCc55091e2c48d883fc8C8413319d4Ab7b0","Polymarket: Fee Module","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","4949"
"0x2447fb5f0225534f7b69fa486f3d6a1b4ea745ac64a1c1d6e8f4056dcb73612c","Success","Trade","84958048","2026-04-01 09:35:33","0x4bFb41d5B3570DeFd03C39a9A4D8dE6Bd8B8982E","Polymarket: CTF Exchange","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","159808415"
"0x2447fb5f0225534f7b69fa486f3d6a1b4ea745ac64a1c1d6e8f4056dcb73612c","Success","Trade","84958048","2026-04-01 09:35:33","0xE3f18aCc55091e2c48d883fc8C8413319d4Ab7b0","Polymarket: Fee Module","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","161585"
"0x0111e3e71e8f3a1d550deaac05f64e6fcde675a232058dd05679491a85552157","Success","Trade","84958048","2026-04-01 09:35:33","0xE3f18aCc55091e2c48d883fc8C8413319d4Ab7b0","Polymarket: Fee Module","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","424858"
"0x0111e3e71e8f3a1d550deaac05f64e6fcde675a232058dd05679491a85552157","Success","Trade","84958048","2026-04-01 09:35:33","0x4bFb41d5B3570DeFd03C39a9A4D8dE6Bd8B8982E","Polymarket: CTF Exchange","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","420185142"
"0x4e99de44f8e5e0ff22673c8a6bc37b1ff2a4e1af4dfe37d0b3f350d92e0e8a44","Success","Trade","84958047","2026-04-01 09:35:31","0xE3f18aCc55091e2c48d883fc8C8413319d4Ab7b0","Polymarket: Fee Module","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","6505"
"0x4e99de44f8e5e0ff22673c8a6bc37b1ff2a4e1af4dfe37d0b3f350d92e0e8a44","Success","Trade","84958047","2026-04-01 09:35:31","0x4bFb41d5B3570DeFd03C39a9A4D8dE6Bd8B8982E","Polymarket: CTF Exchange","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","6433495"
"0x97480d54d76369c992338022b20903211dc72df3acfb3755012eb525ddb9a91f","Success","Trade","84958047","2026-04-01 09:35:31","0x4bFb41d5B3570DeFd03C39a9A4D8dE6Bd8B8982E","Polymarket: CTF Exchange","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","5044899"
"0x97480d54d76369c992338022b20903211dc72df3acfb3755012eb525ddb9a91f","Success","Trade","84958047","2026-04-01 09:35:31","0xE3f18aCc55091e2c48d883fc8C8413319d4Ab7b0","Polymarket: Fee Module","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","5101"
"0x1b9d40c9cbd16c20fa8b36469b53642b0751a2988823ba81d2259507ffc72075","Success","Trade","84958046","2026-04-01 09:35:29","0xE3f18aCc55091e2c48d883fc8C8413319d4Ab7b0","Polymarket: Fee Module","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","22282"
"0x1b9d40c9cbd16c20fa8b36469b53642b0751a2988823ba81d2259507ffc72075","Success","Trade","84958046","2026-04-01 09:35:29","0x4bFb41d5B3570DeFd03C39a9A4D8dE6Bd8B8982E","Polymarket: CTF Exchange","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","22037718"
"0xc3e885b27f1ecb3853363fd7a7c645f947029dcc883e1301138969d2449a051c","Success","Trade","84958046","2026-04-01 09:35:29","0xE3f18aCc55091e2c48d883fc8C8413319d4Ab7b0","Polymarket: Fee Module","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","1010101"
"0xc3e885b27f1ecb3853363fd7a7c645f947029dcc883e1301138969d2449a051c","Success","Trade","84958046","2026-04-01 09:35:29","0x4bFb41d5B3570DeFd03C39a9A4D8dE6Bd8B8982E","Polymarket: CTF Exchange","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","998989899"
"0xdcee9e08b3dc7a0ff5a26636b9f3527fa27ac12b95efcc9d83dcf06456243783","Success","Trade","84958045","2026-04-01 09:35:27","0xE3f18aCc55091e2c48d883fc8C8413319d4Ab7b0","Polymarket: Fee Module","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","11060"
"0xdcee9e08b3dc7a0ff5a26636b9f3527fa27ac12b95efcc9d83dcf06456243783","Success","Trade","84958045","2026-04-01 09:35:27","0x4bFb41d5B3570DeFd03C39a9A4D8dE6Bd8B8982E","Polymarket: CTF Exchange","0x751a2b86caB503496eFD325c8344E10159349eA1","Polymarket: Sharky6999","ERC-1155","","10938940"
