Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Token
"0x0d2689be67070abe3c97713e7ad31a7566af767da069182eca10f300cc461795","Success","Trade","84959684","2026-04-01 10:30:05","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","4.8213","$4.82","USD Coin (PoS)(USDC.e)"
"0xcc3b773c3b8dcb84a6440d98e99bbe51f11bce8276047b1c27b30f4c3c1a347a","Success","Trade","84959683","2026-04-01 10:30:03","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","38.0754","$38.08","USD Coin (PoS)(USDC.e)"
"0xbfc7ff0f1aa1f3ff3e16b783c6ca335a804d2c9bbbf19f3c694983d5f2585398","Success","Trade","84959683","2026-04-01 10:30:03","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","41.2434","$41.24","USD Coin (PoS)(USDC.e)"
"0x9a78f26504ed09d312906050e15168a9a865feafd160067783252e61d48a6696","Success","Trade","84959683","2026-04-01 10:30:03","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","118.8","$118.80","USD Coin (PoS)(USDC.e)"
"0xda34e9dc73183fa269c8830c940e60204c1998548af428bd84c1f8cd5347cbc9","Success","Trade","84959683","2026-04-01 10:30:03","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","109.9989","$110.00","USD Coin (PoS)(USDC.e)"
"0xe8ec6d61633581c27953d89a5dbf9917b590c468c92ce758cf61e804ed2d2f79","Success","Trade","84959683","2026-04-01 10:30:03","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","36.6597","$36.66","USD Coin (PoS)(USDC.e)"
"0xe1a4c0d3906626def4fb6a7e467733816e960d43f9e8501cb7fa437fe05d9698","Success","Trade","84959683","2026-04-01 10:30:03","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","49.5","$49.50","USD Coin (PoS)(USDC.e)"
"0x9aec3b83801c5ce70a838e5baa1de26dd7fe503bad93852369ca8a617ba889db","Success","Trade","84959683","2026-04-01 10:30:03","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","115.83","$115.83","USD Coin (PoS)(USDC.e)"
"0xfaac47df4c035a15a5eda47dbdfa3712f979a9f86fc406c64091856349911b42","Success","Trade","84959683","2026-04-01 10:30:03","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","193.05","$193.05","USD Coin (PoS)(USDC.e)"
"0x5feb2be4132b63b38540d3494d50489d068d29229384900a1854a6422444cdb6","Success","Trade","84959683","2026-04-01 10:30:03","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","435.2249","$435.22","USD Coin (PoS)(USDC.e)"
"0x026982c535d86c7e11679959d6b627f8311e0b877bfb659aeca7115ef7bc48e8","Success","Trade","84959134","2026-04-01 10:11:45","0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0","Polymarket: Fee Module","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0.002775","$0.00","USD Coin (PoS)(USDC.e)"
"0x026982c535d86c7e11679959d6b627f8311e0b877bfb659aeca7115ef7bc48e8","Success","Trade","84959134","2026-04-01 10:11:45","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","27.719475","$27.72","USD Coin (PoS)(USDC.e)"
"0x804b4714b403498d5cb5b199699bf53e342ac53c6e8f13744f84d6391a0fed70","Success","Trade","84958796","2026-04-01 10:00:29","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","10.89","$10.89","USD Coin (PoS)(USDC.e)"
"0x916e3c3056a13d271465c83f99b583dceb574626ff6125f1e87d131a28cba0bb","Success","Trade","84958795","2026-04-01 10:00:27","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","1.1484","$1.15","USD Coin (PoS)(USDC.e)"
"0x50e27a90611c5f9b20061190314609546e9a1a9a3e768375932138a0e23e44ae","Success","Trade","84958795","2026-04-01 10:00:27","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","1.98","$1.98","USD Coin (PoS)(USDC.e)"
